Text,Score,Suggestion
 سلام بنده حدود یک سال پیش دو عدد از این گوشی خریدم که یکیش برای خودم بود و تا الان ازش راضی ام و با مشکل خاصی برخورد نکردم البته ظرفیت باتری کمه  حدود 6 ساعت  و همون اول تو ذوق میرنه که نسبت به قیمت موبایل  عالیه و مشکل بعدی نداشتن قابلیت اتصال به اینترنت 4g هستش که میتونید با خرید مدل پرو حلش کنید ولی برا من که ازش استفاده عمومی میکنم اشکالی نداره  تا یادم نرفته باید بگم که کیفیت دوربین در همین یکسال به سرعت افت کرد که الان نمیشه با یه دوربین 5 مگاپیکسل مقایسه ش کرد  از جمله نقاط قوتش هم میتونم به کیفیت مطلوب دوربین البته در ماه های اول خرید و سخت افزار  عالی برای کاربری عمومی و نهایتا تولید با استاندارد های جهانی اشاره کنم ولی با توجه به نقاط قوتش در کل خرید خوبی بود و از دیجی کالا به خاطر خدمات خوبش ممنونم ممنون دیجی جون  نظرتومهمه ,72,1
همه چیز این گوشی عالیه بجز قیمت که البته بیشتر بخاطر گرون شدن دلاره گوشی گلکسی 8 دارم و تغییرات این گوشی جزئی و در حد یه ترغیب کوچیکِ مشتریان سامسونگ برای خرید مدل جدیده تغییراتی مثل جابجایی مثبت حسگر اثر انگشت  ارتقا  نرمافزاری برای گرفتن عکسای باکیفیت تر و جذاب تر   ساخت شکلک AR  و   یه بی سلیقگی هم که دیدم اینکه رنگ هدست  level pro  که هدیه خرید هست با رنگ گوشی  خریداری شده همخوانی نداره بهتر بود امکان تعیین رنگ وجود داشت و یا حداقل رنگ مشابه گوشی تحویل داده می شد  ,92,1
من و خانواده ام گوشی های متفاوتی رو داشتیم چه از نوع سامسونگ  مثلا note 3  و آیفون  مدلهای اخیر  ولی همگی به کرات و بارها در مقابل ضربه و افتادن از دست و اکثرا در حالت ایستاده و روی زمین سفت و حتی نا هموار  آسفالت  سنگ و سرامیک  بسیار مقاوم بودند و موردی یا شکستگی و خش زننده و قابل توجه هم برایشان حاصل نشدهاست در حالی که من اخیرا سامسونگ note 8  گرفتم  و در اثر افتادن از دست آنهم از ارتفاع 40 سانتیمتری از گوشه اش ترک ناجوری برداشته است و نشان از یا  مشکل طراحی  لبه های تیز و ضربه پذیر  یا عدم دوام صفحه آنست ,52,1
در مجموع از خرید این گوشی راضی هستم  اگر کاربر حرفه ای قلمش باشین و به امکاناتش آشنا باشین  احتمالا حرف منو تأیید میکنین که خیلی کابردیه  ظاهر زیبایی داره و تو اجرا کم نمیاره  حسگر عنبیه سرعت خیلی خوبی داره  من با جای حسگر اثر انگشت مشکلی نداشتم و به سرعت بهش عادت کردم  دستیار صوتی بیکسبی با اسامی فارسی مشکل داره و کار کردن باهاش رو سخت میکنه  اما دستورات انگلیسی رو خیلی خوب اجرا میکنه  بزرگترین نقطه ضعفش باتریشه  اما نه به این معنا که ضعیف باشه  در مقابل عمر باتری آیفون و گوشیهای هوآوی کم میاره اما هنوز رضایتبخشه  امیدوارم عمرش به سرعت کاهش پیدا نکنه  کاش جای سیمکارت دوم با حافظه جانبی یکی نبود  در ضمن من این گوشی رو تو پیش فروش خرید کردم و یک روز زودتر از موعد برای تحویل به موقع با من هماهنگ کردن که به موقع هم به دستم رسید  ,84,1
تجربه استفاده از این گوشی جای هیچ حرف و حدیثی باقی نمیگداره ,100,1
من نوت 8 رو از دیجی پیش خرید کردم خیلی خیلی راضیم گوشی خیلی خوب و زیباییه تو چند ساعت اول حس میکنید خیلی بزرگ و کشیدست که بعد اون چند ساعت کاملا براتون طبیعی میشه خوش دست هست ولی خیلی نمیشه باهاش یه دستی کار کرد جای سنسور اثر انگشت هم خیلی برای راست دستا که گوشی رو با دست چپ میگیرن و با دست راست لمس میکنن مناسب نیست اینا که گفتم تقریبا بدیاش بود به غیر از اینا تو همه چی عالیه ,88,1
من این محصول رو پیش خرید کرده بودم  گوشی قبلیم هم نوت 5 بود  انصافا نوت 5 هیچی کم و کسری نداشت  در مورد این گوشی باید بگم صفحه نمایشش عالیه واقعا  روون کار می کنه  سریعه دورینش واقعا حرف نداره  امکاناتی که میده از جمله قلمش و برنامه های سلامتی عالیه   در سیستم عامل اندروید واقعا یکی از بهترین هاست رنگ مشکیش هم واقعا غوغا میکنه زیباست   اکثر همکارام متوجه شدند که گوشیم رو عوض کردم  من از اسکن چشم استفاده میکنم و کاربدیه بعضی جا ها نور زیاد که هست کار نمی کنه البیته من ساعت گیر 3 رو گرفتم و به عنوان دستگاه قابل اعتماد شناسوندم و راحت الکی قفل نمیشه  در ضمن می تونید به گزینه های قفل هوشمند رجوع کنید و ایتم ها خوبی داره مثل محل قابل اعتماد مثل خونتون که قفل نشه داخل خونتون  یک توصیه که به دوستان دارم همراه این گوشی ساعت گیر 3 و هدفون بیسیم یو پرو نیز بخرند و گوشیشون رو تو خیابون اینها دست نگیرند و تو کیف و یا لباسشون بزارند  من با استفاده از برنامه اسمارت سوییج کلیه اطلاعات گوشیم رو منتقل کردم حتی تم گوشی قبلیم حتی چیدمان ایکون ها و حتی پسورد های وایرلس خونه و شرکت  خیلی جالب بود عکس و شماره هاو اس ام اس و ها و اطلاهات تماس ها هم براحتی اب خوردن منتقل شدند  کل این پروسه نیم ساعت با کابل طول کشید  در کل من اعتقاد دارم گوشی باید پرچم دار باشه مخصوصا برای افرادی که همه کار و زندگیشون با گوشیه هنور دکس رو امتحان نکردم  هدیه ها هم فعلا بجز فیدیبو امتحان نکردم اما هدیه هاش کاربریه و کاملا ارزشمند  یک مورد هم بهتره بدوستان بگم اینکه فلش های OTG که برای یو اس بی های تایپ B بود الان با رابط کار نمی کنه و بایستی فلش OTG تایپ C بخریم که در دیجی کالا هم موجوده  من برای گوشیم از همون کاور ساده پشت گوشی در جعبه اولیه بود استفاده می کنم و روش گلس اینها ننداختم  اینطوری بیشتر حال می کنم  ,84,1
گوشیه فوق العاده ای هستش اصلا نمیشه براش عیب و ایرادی گرفت دیجی جووون بابت هدیه ها ممنون ,100,1
کاملترین گوشی ای که در حال حاضر تو این رنج قیمت میشه خرید  من قصد داشتم صبر کنم برا آیفون x ولی نظرم عوض شد و اینو پیش خرید کردم   واقعا راضیم ازش بیشتر به خاطر قلم s pen خریدمش ولی بعد دو سه هفته کار کردن باهاش هیچ نقطه ضعف و مشکل حتی جزئی ندیدم و فقط اسپیکرهاش اگه استریو بود کیفیت صدا با چیزی که الان هست خیلی فرق میکرد گرچه الانم خوبه و راضی کننده هستش  به راحتی میتونه از پس هر کار سنگینی بر بیاد یعنی 6 گیگ رم فقط روی کاغذ نیست اگه باهاش کار کنین کاملا متوجه تفاوتش با بقیه گوشی های هم رده  غیر از آیفون ها  در بحث سرعت میشین از دیجی کالا بابت تحویل زودتر از موعدش ممنونم ,96,1
باسلام من این گوشیرو باگارانتی مایکروتل پیش خرید کردم چند روزه رسیده دستم تقریباً همه چیش خوبه بجز قلمش وقتی میخوای چیزی بنویسی باید حتماً فشاربدی رو قلم وگرنه حرفها رو بریده بریده مینویسه مثل خودکاری که رنگش داره تموم میشه  واقعا حالم گرفته شده امیدوارم دیجی کالا زودتر گوشیرو برام تعویض کنه باتشکر  ,60,3
گوشی بسیار باکیفیت بود و مشکلاتی که دوستان اشاره کردند رو نداشت صدای دو طرف واضح بود همه دگمه های گوشی نرم و خوب عمل میکنن به جز دگمه جهت بالا که یکم خشک عمل میکنه نسبت به قیمت دوربین خوبی داره ظاهرش خوبه  ,100,1
گوشی خوبی نیست   حافظه فولدر سازی برای قسمت پیام اش کمه   موقع نوشتن پیام اذیت میکنه   راحت میشه هکش کرد   امنیت اش پایینه   تعداد لیست بلک لیست پیام و لیست رد تماسش کمه   ,60,3
موبایل را خریدم   راحت هک میشه   اس ام اس دادن باهاش زجر آوره   لیست بلک لیست تماس و بلک لیست پیامش کمه   تعداد فولدر های پیام کم است   یکی چند بار با هک کردن موبایلم با لیست کانتکت های من تماس گرفته   یک بار هم گوشی روی میز بود که هکر با گوشی به کانتکت من زنگ زده و قطع کرده   یک بار هم ساعت 2 نصفه شب طرف موبایلم را هک کرده و به کانتکت من زنگ زده چند بار    لطفا فقط موبایلی که محافظت داره و نمیشه راحت هکش کرد بیارین   این بلا سر گوشی اچ تی سی چاچا هم برایم پیش اومده است   ,60,3
نمیدونم چی تو ذهنم بود که اینو خریدم   کاملا پشیمونم ,40,3
سلام  من 5سال این گوشی رو دارم و هنوز مث روز اول کار میکنه و هیچی از گوشیای الان که روز به روز تو بازار میاد کم نداره  گوشی خیلی قوی هست  ,76,1
دوساله دارمش یبار هنگ نکرده چندبارم افتاده اخ نگفته نه گلسی نه قابی نه هیچی روش نداختم یه مزیت عالیشم اینه که سیم شارژش بلنده برخلاف بقیه گوشیا فقط حافظش ضعیفه 4جی هم نیست ,60,1
در خریدش شک نکنید نه هنگ داره نه داغ میکنه  دوربینش هم که عالیه فقط هندزفری نداره همراش که همین بدیشه  وگرنه عالییییه ,92,1
باسلام  این گوشی رو من حدود 2ساله دارم  بعنوان گوشی دم دستی خریدم  از این نظر خیلی خوب و مقرون بصرفه ست  و اما اینکه نوشتم بدون مرگ  دلیلش اینه که دیروز فراموش کردم گوشی رو تو جیب شلوار  بمدت 2ساعت تو لباسشویی تمام اتوماتیک شسته شد  بعد از یک روز که گذاشتم خشک شد  بدون کوچکترین مشکل و مثل روز اول روشن شد      ,60,1
گوشی خوبی ولی هیچ وقت باهاش کلش بازی نکنید چون زود خرابش میکنه  از دیگر ایرادتشم داغ شدنش کلا گوشی کار راه اندازیه ولی باطریش خیلییییی ضعیفه گوشی که بعد دو سال باید عوضش کرد چون اندرویدش زود خراب میشه  ,52,3
یه دونه از این گوشی برای یکی از بستگانم سفارش دادم تو این رنج قیمت گوشی خوبی هست ,64,1
سلام من تقریبا دو ماهی میشه که این گوشی رو خریدم و خدا رو شکر هیچ عیب قابل توجهی نداشته که بخواد اذیت کنه از لحاظ ظاهری خیلی پشت گوشی قشنگه و تو چشمه و همون اول که میبینیش خود نمایی میکنه توی قدرت همه جور بازی رو اجرا میکنه پس نگران قدرت و عملکردش نباشید من  خودم بازی های مختلفی رو روش اجرا کردم مثل Mortal kombat X که واقها بازی سنگینیه ولی بدون کوچکترین مشکلی اجراش کرد گوشی همون اول Android 7 با رابط کاربری EMUI 5 1 اما به Android 8 و رابط کاربری EMUI 8 اپدیت میشه تو اپدیت قابلیت Game suit هم اضافه شده که میتونید قدرت گوشی رو تو اجرای بازی کنترل کنید و اگه اون رو روی حالت Gaming mode بزارید بازی مثل asfalt 8 رو تو پس زمینه حتی بعد از چند ساعت باز نگه میداره و این خبر خوبیه برای گیمرا توی دوربین هم هواوی چیزی کم نزاشته و واقعا امکانات عالی داره تو شب و محیط های کم نور میتونید از حالت Night mode استفاده کنید  توی این حالت عکس ها بدون نویز ثبت میشه ولی نیاز به پایه دارید توی روز هم که خودتون میدونید عالیه خود رابط کاربری توی اپدیت جدید بحبود هایی رو داشته و گزینه تشخیص چهره  Face unlock  هم بهش اضافه شده توی باطری هم نه میشه گفت بد و نه عالی اما خوبه توی یک ساعت و ده دقیقه کامل شارژ میشه و در استفاده ترکیبی از گوشی 1 روز کامل رو شارژ داره توی بازی های انلاین هم مثل Clash of Clans تو 1 ساعت بازی کردن با نت 4G باطری 6 درصد و توی Asfalt 8 تو 1 ساعت بازی 11 درصد کم شد در کل توی همه چیزش عالیه شک نکنید بخریدش اما اگه به دوربین اهمیت میدیید پیشنهاد من به شما Huawei P10 هست درضمن من این گوشی رو از دیجیکالا خریدم وتو 2 بدستم رسید شما هم اگه میخواید این گوشی رو بخرید از دیجی کالا بخرید که خیلی توپه ممنون از شما که نظر من رو درباره ی این گوشی خواندید ,96,1
حتما خرید اون رو پیشنهاد میکنم عالیه ,92,1
موبایل بسیار خوبی است ,100,2
اندروید 8 براش اومده و سرعتشم عالیه و هنوزم ارزش خرید داره ,100,1
جنس بدنه بسیار ضعیف دوربین بی کیفیت طراحی ضعیف بدنه ضمخت می باشد  ,60,3
بعد از 9 ماه استفاده هیچگونه مشکلی ندیدم و هیچوقت هم از لحاظ حافظه داخلی و رم مشکلی درست نکرد و در یک کلام عالی با این قیمت ,92,1
سلام دوستان حدود 2 سالی هست که این گوشی رو دارم و باید بگم فوق العادست فقط از اون اول مشکل باتری داشتم تا الان که دیگه عمر باتریش تموم شده و باید تعویض بشه اگه استفادتون از گوشی کمه حتما پیشنهاد میکنم این گوشی رو و اگه مثه من همیشه گوشی دستتون هست باید بگم که اصلا انتخاب مناسبی نیست چون همه نقاط قوت این گوشی با روشن بودنش قابل استفادست در غیر این صورت هیچ  و در آخر یادم رفت بگم که زیبایی خاصی هم داره که خیلی ها با آیفون اشتباه میگیرنش ,84,1
خیلی مرده راضی ام ازش خدا هم ازش راضی باشه ,60,1
من از این گوشی دوتا خریدم هنوز بعد دو سال هیچ اتفاقی براشون نیوفتاده ولی از دیجی کالا بعیده که گوشی قاچاق بیاره   هر دوتایی که خریدم قاچاق هستن  ,96,1
من 4 ساله دارمش واقعا از همه لحاظ عالیه بازی با دیتای 2 گیگ رو به راحتی اجرا کرد فقط باتریش یخورده ضعیفه و اسپیکرش صدای خیلی با کیفیتی نداره یکم گزگز داره بقیه چیزاش خوبه ,100,1
این اولین موبایلی بود که داشتم و کلی هم کارمو راه انداخته و به شخصه حسابی ازش کار کشیدم و واقعا کم نیاورد چه تو بازی چه تو اجرای نرم افزار های سنگین نسبت به خودش فوق العاده است و کم نمیاره ,80,1
بنظرم خیلی گوشیه خوبیه  من بیش از شیش ماهه گرفتمش  البته دو تا   باطریش رو اگر دائم توی اینستا باشید بین 9 تا 12 ساعت خالی میشه  ولی حالت عادی یا 4 ساعت در اینترنت و غیره 1 روز و 8 ساعت جواب میده  اگر هم کم کار باشید که 3 روز  نتیجه گیری 12 ساعت کار  برای فیلم دیدن و مطالعه خیلی خوبه  اصلا کم نمیاره مگر اینکه فیلمتون از حالت FullHD بزرگتر باشه که گیر میکنه  بسیار شیکه و باریکه  برای فیلم دیدن  فریم بالا و پایین چون نازکه حس خوبی میده  برنامه گوگل هم داره که میتونید صوتی دنبال همه چیز بگردید  البته انگلیسی  از دیگر قابلیت هاش  میتونید گوشیتون رو صدا کنید و بگید شماره ایکس یا ایگرگ رو بگیره  ولی اگر دنبال کیفیت صفحه نمایش هستید سامسونگ سر تره  ولی این هواوی دیگر تواناییهاش سرتره  بسته به اینکه از گوشی چه انتظاری دارید میتونید انتخاب کنید  ,60,1
تو یه کلمه داغ میکنه زیاد  دست رو میسوزونه عملا یه تومن پول رو دور ریختم با خریدم ,20,3
با سلام  من از اول گوشی های ال جی خریدم از الجی آرنا با سیستم جاوا تا g2 و الان هم g6 دارم واقعا ال جی رو دوست دارم و همچنین نو آوری های این شرکت    هر کاری ال جی میکنه دیگر برندها بلاخره همون کار رو انجام میدن جی 6 خیلی گوشی خوش ساخت و خوش دسته وقتی اون تو دست میگیری نسبت به دیگر گوشی ها متوجه حرفم میشید  دوربین واید عقب گوشی عالیه جوری که دوربین های دیگه یه جورایی بی استفاده به نظر میرسه  دوربین سلفیش شاید به زیبایی سامسوگ یا هوواوی عکس نگیره ولی بازم لنز وایدش کاربردیه  به نظر من در خرید این گوشی شک نکنید  ,88,1
سلام دوستان من این گوشی نسبت به آیفون7   الجی وی20   الجی جی 5  مقایسه میکنم   هر سه این گوشی ها رو دارم   قدرت پردازنده مرکزیشون و رم داخلی گوشی های الجی رو کاغذ هر سه یکسان و خیلی بالاتر از آیفون7 هست ولی با این حال آیفون تو بازی ها خیلی بهتر و سرتره   نکته بعدی  با اینکه LG6 پلاس خیلی بعد از lg v20  amp  lg g5 معرفی شده ولی کیفیت دوربین سلفیش به شدت از lg g5 و دوربین پشتش از lg V20 پایین تره   حالا چرا من این گوشی گرفتم    128 گیگابایت حافظه داخلی با یه مموری 128 گیگ با یه اکانت اسپاتیفای   گزینه Hi fi Quad DAC روشن   هدفن بسیار عالی   ساعت ها با بهترین کیفیت صدا موزیک گوش بدید   صفحه نمایشش و همچنین قاب پشتش هم کاملا مورد جذبتون میکنه   نکته مثبت دیگه کاهش بسیار زیاد قیمت گوشی توسط خوده الجی هست که فکر میکنم الان بعد حدود یکسال از عرضه گوشی   می ارزه   اگر قاب خواستید بخرید   میتونید از قاب های LG G6 هم استفاده کنید ولی برای گلس یا ضد خش صفحه نمایش باید حتما برای LG 6 PLUS تهیه کنید  ,84,1
در کل نسبت ب قیمت گوشی خیلی خوبی  هنوز راضی ام فقط مشکلاتشو میگم بقیه چیزا یا عادی هستن یا خوب سایه افتادن برنامه قبلی تو برنامه جدید بعضی وقتا داره تو کار با گوشی تاثیری نداره ولی بالاخره ی مشکل و باگ تو گوشیه باطریشم نسبت ب بقیه گوشیا عمرش کم بود و جدیدا زود خالی میشه ک مجبور شدم ی دونه همین چن روز پیش سفارش بدم ب عنوان یدک داشته باشم  بعضیا هم میگفتن زود شارژ نمیشه و فست نیست  برا من ک سریع شارژ میشه 40 دقه تا 1 ساعت فول میشه بستگی ب سیم شارژ و خود سری شارژر و حتی برق خونگی هم داره   ,84,1
من همون هفته اولی که دیجی موجود کرد گرفتم و واقعا فوقلعادست  همچیش عالیه و حتما پیشنهاد میکنم کاملا ارزش داره مخصوصا با این باندل  ,92,1
این گوشی با طراحی فوق العاده امکان نداره در صورت سقوط از ارتفاع به ال سی دی اش ضربه وارد بشه تا بحال بیش از 5 بار از ارتفاع بیش از دو متر روی سرامیک و موزاییک سقوط کرده ولی دریغ از کوچکترین مشکل و یا آسیبی  شما میتونید با هر وزنی که دارید با هردو پا روی گوشی برید با خیال راحت و بدون ایجاد کوچکترین مشکلی ,96,1
بعد از دو سال گوشیم کند شد   و ریست می شد مرتب و دیگه روشن نشد خوشبختانه از دیجی کالا خریده بودم همراه با گارانتی   و یکماه قبل از اتمام گارانتی مراجعه کردم به مدیا پردازس در عرض یکساعت برد گوشی عوض کردن و تحویلم دادن   در کل طی این مدت از عملکرد دوربین خیلی راضی بودم و سرعت و سادگی گوشی و بروزرسانی هاش ,96,2
عالی بودوهنوزم دارمش وازش لذت میبرم ,100,1
واقعا گوشی خوبی بود   من کوبیدمش تو دیوار هیچیش نشد   ولی دیگه رو موزاییک کف آشپزخونه دوام نیاورد ,84,1
در کل به نسبت پول پرداختی گوشی بسیار عالی میباشد و از پس تمام برنامه ها و بازی های متوسط برمی آید ,68,1
من دو سال پیش از دیجی برای مادرم خریدم چند وقت پیش شیار سیمکارت یکش قطع شد الانم شیار دومش  بردم برای تعمیر گفت ال جی اگه خراب شه دیگه کارش نمیشه کرد همونم شد و هرکاری کردیم درست نشد  اون زمان گوشی خوبی بود ولی الان با هرقیمتیم بدن نمیصرفه نخرید  ,60,3
به نظر من گوشی بدی نیست الان پسرم این گوشی را دارد وبرای نوجوانان کاملا مناسب است اما متاسفانه خیلی از هم سن وسال های پسر من قصد داشتن گوشی هوشمند را دارند    امید وارم این گوشی را موجود کنیدو پسر بچه هایی که هنوز گوشی هوشمند نگرفته اند این گوشی را بگیرند به جای گوشی های هوشمند باتشکر  ,48,3
سلام دوستان   واسه این گوشی قرار بوده نسخه 7 اندروید منتشر بشه ولی برای گوشی من هنوز نیومده   از همینجا خریدم در کل گوشی فوق العاده ای هست ولی اگر عادت دارید با گوشی عکس بگیرید شاید یخورده بخوره توی ذوقتون چون زیاد جالب نیست دوربینش بنظرم تو این رنج قیمت در حال حاضر بهترین انتخاب باشه  ,56,1
از چند سال پیش که HTC620 خریدم وبعد از اون مدل های مختلف HTC رو گرفتم واقعا هیچ گوشی دیگه ای رو نمیپسندم این گوشی هم از هر نظر عالی هست نسبت به قیمت و من مشکلی توش ندیدم دم دیجی کالا و HTC گرم ,96,1
من از خریدش واقعا راضیم خداییش اصلا کم نمی آره ,100,1
من یک ساله که این گوشی را از دیجی کالا خریدم فقط هم با حافظه 64 دیجی کالا داشت هیچ جای دیگه نبود کاملا ازش راضیم تو خریدش اصلا شک نکنید ,100,1
من این گوشی رو از دیجی کالا تهیه کردم  متاسفانه بعد از شش ماه گوشی مداوم دچار هنگ میشد و تاچ گوشی از کار افتاد  شوربختانه گارانتی سامتل قشم هم به هیچ عنوان پاسخ گوی تماس ها نیست ,60,1
کمتراز18ماه آی سی تغذیه یا هاردش سوخت نفهمیدنم چرا درستم نشد خاموش شد خودبه خود روشن خاموش میشد روی لوگو گیرمیکرد ,72,3
من دو سال بود داشتم از چی پی اس راضی نبودم اما گوشی محکم و قوی ای بود  فقط خیلی یهو بدون هیچ اذیت قبلی یا مشکلی شروع کرد مدام ریست شدن و اصلا حتی اندرویدش بالا نمیومد گفتن هاردش مشکل پیدا کرده و کلا ارزش تعمیر نداره ,48,2
ب قیمتش می ارزه  ,60,1
فوق العاده گوشی بی کیفیت هستش میکروفون و اسپیکر ضعییف کیفیت صغحه نمایش پایین باطری زود خالی میشه خیلی کنده ,48,3
من گوشیو یکسال که دارم   خعلی راضیم   ولی الان قابش تو بازار نیس  ,60,1
دوستانی که تا به حال مثل من دونبال روش انتقال اپلیکیشن به sdcard بودین با روت کردن گوشی با کینگ روت و نصب دو نرم افزار  link2sd و foldermount تمام مشکلات شما حل خواهد شد  برای link2sd   راه حل ها داخل اینترنت خوب توضیح داده شده و روش foldermount  برای انتقال دیتاهای بازیهای سنگین خیلی مناسبه بازم مشکلی داشتین همینجا بنویسید من دوباره به شما سر میزنم  با تشکر ,92,1
خیلی راضی بودم متاسفانه ازم دزدیدن ,100,1
بسیار گوشی بیکیفت و ظریف و کند  هست اصلا راضی نیستم ,16,3
